Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j13,j12,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Dispo@MPGLaurent?
Mbappé Kylian,A,47,98.0,6.38,6.38,6.31,12,12,39,1.38,1.38,1.55,11,11,35,0.92,0.92,0.95,971,971,3302,80.92,80.92,84.67,88.0,94.0,5.0,4.27,6.0,8.0,7.0,5.0,6.0,5.0,5.0,7.5,6.5,4.5,9.0,7.0,0.0,8.5,8.0,6.0,8.0,4.0,7.0,5.0,9.0,9.0,3.5,7.0,0.0,8.0,5.0,6.0,6.5,6.5,7.0,5.0,0.0,7.0,6.0,4.5,4.0,7.0,6.5,1.0,,2.0,2.0,12.0,23.0,0.8279,620.0,3.0,2.0,38.14,8.0,,,9.0,Paris,Lorient,2022-11-06,50.0,0.81345,0.80954,0.8137,Sursis (2sem.)
Neymar,A,38,82.0,6.71,7.5,6.28,12,1,30,1.37,0.0,1.38,10,1,22,0.83,1.0,0.93,918,90,2443,76.5,90.0,81.43,92.0,111.0,4.5,3.8,7.5,0.0,6.5,4.5,5.0,6.0,6.5,6.0,6.5,6.5,9.0,7.5,9.0,7.0,0.0,6.5,6.5,6.0,0.0,7.0,9.0,8.0,4.0,6.0,4.5,5.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.5,5.0,2.0,,,8.0,10.0,6.0,0.8228,981.0,2.0,6.0,49.32,14.0,,,8.0,Paris,Lorient,2022-11-06,50.0,0.81345,0.80954,0.8137,
David Jonathan,A,35,60.0,6.08,6.08,5.3,13,13,42,1.5,1.5,1.57,9,9,20,1.0,1.0,0.9,1154,1154,3328,88.77,88.77,79.24,128.0,166.0,6.0,3.89,5.0,6.5,7.5,6.0,7.0,6.0,4.0,8.0,5.0,4.5,4.0,7.0,8.5,5.0,8.0,3.5,3.5,4.5,4.5,3.0,4.0,4.5,5.0,4.0,7.5,4.0,3.5,5.0,3.0,5.0,5.0,0.0,7.0,4.5,7.0,4.0,3.0,7.0,4.0,2.0,,,3.0,3.0,10.0,0.8458,495.0,4.0,6.0,41.53,12.0,,,4.5,Lille,Rennes,2022-11-06,50.0,0.62169,0.61256,0.64176,Sursis (2sem.)
Terrier Martin,MO,39,60.0,6.46,6.46,6.17,13,13,43,1.31,1.31,1.21,8,8,27,1.0,1.0,1.0,1113,1113,3450,85.62,85.62,80.23,139.0,128.0,6.0,4.88,8.0,4.5,8.0,8.0,7.5,5.0,7.5,6.0,7.0,4.5,6.5,6.0,5.5,5.0,7.5,5.0,6.0,7.0,7.0,6.5,6.5,7.0,7.0,7.0,5.5,7.0,7.0,4.5,7.0,5.5,6.0,4.0,6.0,4.5,8.5,3.5,5.5,7.0,5.0,,,1.0,3.0,3.0,10.0,0.7619,682.0,11.0,10.0,56.25,12.0,,,4.25,Rennes,Lille,2022-11-06,50.0,0.65583,0.62777,0.64342,
Lacazette Alexandre,A,26,49.0,6.0,6.0,5.27,13,13,42,1.15,1.15,1.2,8,8,12,1.0,1.0,0.79,1121,1121,2878,86.23,86.23,68.52,140.0,240.0,6.0,3.25,6.5,8.0,7.0,6.0,4.0,5.0,5.0,6.5,5.5,4.5,7.0,7.0,6.0,4.0,4.5,4.5,0.0,0.0,0.0,4.0,3.0,4.5,6.0,6.5,4.5,5.5,4.0,5.5,4.5,4.0,4.5,6.5,6.5,5.5,7.0,6.5,4.0,4.5,4.5,1.0,,,3.0,3.0,14.0,0.7299,556.0,9.0,13.0,45.19,21.0,,,0.0,Lyon,Marseille,2022-11-06,50.0,0.67322,0.6338,0.61818,
Moffi Terem,A,24,44.0,5.54,4.5,5.05,12,1,39,1.5,0.0,1.21,8,0,14,0.92,0.0,0.9,860,30,2776,71.67,30.0,71.18,108.0,198.0,5.5,3.0,4.5,0.0,4.5,8.0,5.0,6.5,4.5,4.5,7.0,7.0,3.0,7.0,5.0,5.0,4.0,4.0,6.5,4.5,4.5,4.0,8.0,6.0,4.0,4.5,5.5,5.0,4.5,4.5,0.0,6.0,5.0,0.0,5.0,4.0,5.0,4.5,4.0,4.0,3.0,1.0,,,,,5.0,0.7419,281.0,,3.0,41.59,10.0,,,5.5,Lorient,Paris,2022-11-06,50.0,0.47207,0.45952,0.434,
Messi Lionel,A,41,74.0,7.33,6.83,6.56,12,3,36,1.13,1.26,1.36,7,2,13,1.0,1.0,0.97,1057,259,3109,88.08,86.33,86.36,151.0,239.0,6.5,5.86,7.0,8.0,5.5,0.0,7.0,8.0,7.5,8.0,8.0,5.0,8.0,7.0,9.0,8.0,8.0,5.0,5.5,7.0,0.0,4.5,8.0,6.5,0.0,6.0,4.0,7.5,6.0,6.0,8.0,5.5,0.0,0.0,6.0,5.5,5.5,6.5,7.5,7.5,7.0,,1.0,2.0,10.0,13.0,18.0,0.8453,1010.0,,8.0,50.71,3.0,,,6.25,Paris,Lorient,2022-11-06,50.0,0.81345,0.80954,0.8137,
Openda Loïs,A,21,35.0,5.5,5.5,5.5,13,13,13,1.31,1.31,1.31,7,7,7,0.85,0.85,0.85,890,890,890,68.46,68.46,68.46,127.0,127.0,6.0,3.0,8.0,4.5,4.0,4.5,5.5,4.0,4.5,6.5,6.0,7.0,7.0,4.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,4.0,14.0,0.7276,290.0,1.0,2.0,36.71,14.0,,,0.0,Lens,Angers,2022-11-05,58.84,0.64435,0.63676,0.61376,
Mama Baldé,MO,17,25.0,5.46,5.46,4.81,13,13,34,1.69,1.69,1.48,7,7,9,0.92,0.92,0.79,1042,1042,2246,80.15,80.15,66.06,149.0,250.0,6.0,2.43,7.5,5.0,4.0,3.5,4.0,8.0,4.0,5.0,8.0,6.5,4.5,4.0,7.0,4.5,5.0,4.5,0.0,0.0,2.0,6.0,4.0,6.0,0.0,0.0,4.5,3.0,4.0,3.0,5.5,0.0,0.0,0.0,0.0,3.0,4.0,4.5,4.0,0.0,1.0,,,1.0,2.0,1.0,8.0,0.7474,422.0,4.0,8.0,46.62,14.0,,,0.0,Troyes,Auxerre,2022-11-04,0.22,0.42392,0.43272,0.42649,
Balogun Folarin,A,19,29.0,5.42,5.42,5.42,13,13,13,1.34,1.34,1.34,7,7,7,0.85,0.85,0.85,957,957,957,73.62,73.62,73.62,137.0,137.0,6.0,2.71,4.5,7.0,3.0,5.0,6.0,4.0,4.5,6.0,7.0,4.0,7.0,6.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.0,,,1.0,3.0,4.0,0.6735,375.0,1.0,2.0,33.33,14.0,,,0.0,Reims,Nantes,2022-11-06,50.0,0.46319,0.45885,0.46317,
Sotoca Florian,A,27,43.0,6.08,6.08,5.63,13,13,39,1.38,1.38,1.11,6,6,10,0.92,0.92,0.87,1060,1060,2948,81.54,81.54,75.59,177.0,295.0,6.0,4.5,6.0,5.0,5.5,3.5,7.5,4.5,6.0,6.0,8.0,7.0,7.0,5.0,8.0,5.5,6.5,6.5,5.0,6.0,5.5,5.5,6.0,0.0,7.0,5.0,5.0,6.0,6.0,5.0,0.0,4.0,6.5,4.5,0.0,4.5,4.5,4.5,6.0,0.0,7.0,1.0,,,3.0,5.0,12.0,0.8008,723.0,12.0,6.0,50.0,15.0,,,6.0,Lens,Angers,2022-11-05,58.84,0.64435,0.63676,0.61376,Sursis (9sem.)
Gouiri Amine,A,26,41.0,5.91,6.19,5.38,11,8,42,0.94,0.96,1.0,6,6,11,1.0,1.0,0.86,843,615,3003,76.64,76.88,71.5,141.0,273.0,6.0,4.33,6.5,6.0,6.5,7.0,7.0,4.5,7.0,5.0,0.0,0.0,5.0,5.5,5.0,5.0,5.0,6.0,5.0,4.5,5.0,4.0,4.5,5.5,4.0,5.0,5.5,5.5,4.5,4.0,4.0,6.5,6.0,8.0,5.0,5.5,4.5,4.5,4.0,7.5,5.0,,,,1.0,4.0,5.0,0.8018,379.0,2.0,3.0,32.61,14.0,,,0.0,Rennes,Lille,2022-11-06,50.0,0.65583,0.62777,0.64342,
Embolo Breel,A,18,30.0,5.58,5.58,5.58,13,13,13,1.54,1.54,1.54,6,6,6,0.92,0.92,0.92,1005,1005,1005,77.31,77.31,77.31,168.0,168.0,6.0,3.0,6.5,4.0,6.0,7.0,7.0,7.0,4.0,6.5,4.0,4.0,3.0,7.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,2.0,7.0,5.0,0.6732,414.0,5.0,6.0,46.25,23.0,,,0.0,Monaco,Toulouse,2022-11-06,50.0,0.63774,0.65261,0.64803,
Wahi Elye,A,28,40.0,5.29,0.0,5.19,12,0,36,1.34,0.0,1.18,6,0,16,1.0,0.0,0.81,1001,0,2455,83.42,0.0,68.19,167.0,153.0,5.5,4.67,0.0,6.0,3.5,4.0,6.0,5.0,4.5,6.0,7.0,8.0,4.5,4.0,5.0,0.0,0.0,0.0,6.0,6.0,4.0,5.0,4.5,6.0,6.5,5.5,4.0,6.0,4.5,4.0,5.5,6.5,2.0,0.0,5.0,6.0,6.0,6.5,4.5,4.5,4.0,,,,1.0,,8.0,0.6932,299.0,3.0,3.0,30.91,13.0,,,6.0,Montpellier,Clermont,2022-11-06,50.0,0.40695,0.42636,0.40512,
